i_epoch,env_reward,running_reward,training_step,hpwl,cost,epoch_time
294, -62.89, -66.98, 24780,  651270.00,  735746.82, 10.87
295, -60.11, -66.29, 24780,  622390.78,  700638.27, 1.30
296, -70.13, -66.68, 24780,  731061.20,  861413.18, 1.20
297, -66.44, -66.65, 24780,  692159.76,  769159.07, 1.26
298, -64.64, -66.45, 24780,  669473.98,  767140.92, 1.18
299, -65.13, -66.32, 25200,  674605.92,  753142.21, 10.93
300, -66.04, -66.29, 25200,  683739.77,  774159.70, 1.29
301, -73.22, -66.98, 25200,  758484.28,  840585.35, 1.19
302, -64.32, -66.72, 25200,  666165.57,  776762.80, 1.17
303, -68.18, -66.86, 25200,  706746.48,  786030.66, 1.23
304, -62.95, -66.47, 25620,  651642.01,  727459.78, 10.64
305, -71.50, -66.98, 25620,  745194.17,  827080.88, 1.27
306, -63.80, -66.66, 25620,  660512.37,  745023.59, 1.16
307, -61.96, -66.19, 25620,  642399.11,  728680.49, 1.18
308, -60.44, -65.61, 25620,  627191.42,  707108.42, 1.16
309, -62.60, -65.31, 26040,  648432.68,  727661.19, 10.77
310, -61.73, -64.95, 26040,  639828.78,  725922.13, 1.27
311, -70.78, -65.54, 26040,  732874.38,  804728.08, 1.20
312, -75.18, -66.50, 26040,  778499.46,  854631.38, 1.19
313, -66.73, -66.52, 26040,  691399.35,  761311.84, 1.20
314, -71.76, -67.05, 26460,  743206.54,  824488.39, 10.85
315, -82.74, -68.62, 26460,  856799.72,  948379.28, 1.28
316, -58.30, -67.58, 26460,  609356.78,  716624.87, 1.18
317, -71.07, -67.93, 26460,  736225.12,  826134.02, 1.16
318, -62.11, -67.35, 26460,  643425.61,  722080.71, 1.19
319, -60.96, -66.71, 26880,  635379.29,  718555.03, 10.87
320, -64.57, -66.50, 26880,  673690.26,  760648.29, 1.31
321, -70.22, -66.87, 26880,  727010.71,  809297.07, 1.18
322, -70.64, -67.25, 26880,  731757.58,  844748.38, 1.19
323, -130.27, -73.55, 26880,  1351031.02,  1432111.13, 1.21
324, -62.52, -72.45, 27300,  649557.54,  734937.37, 11.00
325, -68.05, -72.01, 27300,  705211.31,  789102.34, 1.29
326, -74.91, -72.30, 27300,  779650.00,  878508.99, 1.18
327, -80.96, -73.16, 27300,  838288.30,  923450.54, 1.21
328, -90.90, -74.94, 27300,  941327.40,  1071458.06, 1.20
329, -65.85, -74.03, 27720,  682842.36,  761516.90, 10.84
330, -63.00, -72.93, 27720,  654917.55,  750997.65, 1.30
331, -76.47, -73.28, 27720,  791636.23,  900745.47, 1.21
332, -79.23, -73.87, 27720,  821520.42,  922996.62, 1.23
333, -76.99, -74.19, 27720,  797125.95,  875180.57, 1.23
334, -65.01, -73.27, 28140,  675700.67,  753843.20, 10.77
335, -76.92, -73.63, 28140,  797089.78,  894917.97, 1.30
336, -116.95, -77.97, 28140,  1210868.26,  1290267.75, 1.17
337, -65.25, -76.69, 28140,  680361.87,  779687.26, 1.17
338, -61.19, -75.14, 28140,  637759.25,  726566.99, 1.24
339, -76.37, -75.27, 28560,  794029.70,  888188.29, 10.98
340, -135.08, -81.25, 28560,  1401144.08,  1489861.66, 1.29
341, -63.82, -79.51, 28560,  661376.62,  745965.98, 1.20
342, -113.57, -82.91, 28560,  1176087.46,  1254072.80, 1.22
343, -90.85, -83.71, 28560,  940290.42,  1024262.54, 1.18
344, -65.64, -81.90, 28980,  679751.91,  775903.97, 10.73
345, -68.32, -80.54, 28980,  707241.83,  789496.54, 1.31
346, -63.07, -78.79, 28980,  653346.18,  730654.23, 1.17
347, -59.04, -76.82, 28980,  616704.59,  694566.49, 1.16
348, -67.66, -75.90, 28980,  705230.21,  794327.62, 1.18
349, -73.53, -75.67, 29400,  760834.02,  863162.10, 11.06
350, -82.53, -76.35, 29400,  854185.82,  948957.69, 1.33
351, -61.66, -74.88, 29400,  638456.79,  717961.72, 1.22
352, -77.10, -75.10, 29400,  798634.82,  876744.20, 1.17
353, -67.19, -74.31, 29400,  701918.59,  786925.32, 1.17
354, -71.98, -74.08, 29820,  745153.71,  816946.65, 11.16
355, -68.26, -73.50, 29820,  707193.05,  794297.04, 1.29
356, -65.95, -72.74, 29820,  683077.62,  760040.22, 1.19
357, -66.47, -72.11, 29820,  688660.42,  766369.03, 1.18
358, -65.31, -71.43, 29820,  677187.38,  788240.40, 1.25
359, -60.73, -70.36, 30240,  629321.65,  705454.40, 10.79
360, -81.01, -71.43, 30240,  839484.71,  982961.73, 1.30
361, -63.16, -70.60, 30240,  653973.94,  727583.67, 1.19
362, -62.97, -69.84, 30240,  652154.22,  745217.67, 1.17
363, -84.89, -71.34, 30240,  878913.61,  1008780.45, 1.18
364, -60.93, -70.30, 30660,  631665.19,  709688.34, 10.81
365, -131.05, -76.38, 30660,  1359436.96,  1455172.43, 1.36
366, -64.50, -75.19, 30660,  667710.37,  750463.33, 1.20
367, -60.80, -73.75, 30660,  629754.35,  710867.95, 1.17
368, -66.03, -72.98, 30660,  683807.37,  769640.18, 1.22
369, -65.82, -72.26, 31080,  681468.77,  761256.08, 10.87
370, -58.05, -70.84, 31080,  601285.41,  671381.87, 1.30
371, -62.37, -69.99, 31080,  646394.50,  733396.47, 1.21
372, -65.65, -69.56, 31080,  679586.38,  756775.22, 1.24
373, -128.58, -75.46, 31080,  1331181.45,  1418085.49, 1.18
374, -62.78, -74.19, 31500,  650353.78,  736048.44, 10.73
375, -101.88, -76.96, 31500,  1054751.21,  1131248.10, 1.25
